Internat, Zimmernummer, Offizielle Zimmerbezeichnung, Geschlecht, Belegung, Zimmer reservieren
Internat 5,32,532,M,2,Nein
Internat 5,50,550,W,2,Nein
Internat 5,51,551,W,2,Nein
Internat 5,52,552,W,2,Nein
Internat 5,53,553,W,1,Nein
Internat 5,55,555,W,1,Nein
Internat 5,56,556,W,1,Nein
Internat 5,57,557,W,2,Nein
Internat 5,58,558,W,2,Nein
Internat 5,60,560,W,2,Nein
Internat 5,61,561,W,3,Nein
Internat 5,64,564,W,1,Nein
Internat 5,66,566,W,3,Nein
Internat 5,67,567,W,2,Nein
Internat 5,68,568,W,3,Nein
Internat 5,75,575,M,1,Nein
Internat 5,76,576,M,3,Nein
Internat 5,77,577,M,3,Nein
Internat 5,79,579,M,2,Nein
Internat 5,82,582,M,1,Nein
Internat 5,84,584,M,1,Nein
Internat 5,85,585,M,3,Nein
Internat 5,86,586,M,2,Nein
,,,,,
Internat 6,21,621,W,2,Nein
Internat 6,22,622,W,2,Nein
Internat 6,23,623,W,3,Nein
Internat 6,27,627,W,2,Nein
Internat 6,29,629,W,2,Nein
Internat 6,31,631,W,1,Nein
Internat 6,32,632,W,2,Nein
Internat 6,33,633,W,3,Nein
Internat 6,36,636,W,2,Nein
,,,,,
Internat 7,1,701,M,2,Nein
Internat 7,2,702,M,4,Nein
Internat 7,3,703,M,3,Nein
Internat 7,4,704,M,2,Nein
Internat 7,5,705,M,2,Nein
Internat 7,11,711,W,4,Nein
Internat 7,12,712,W,4,Nein
Internat 7,13,713,W,3,Nein
Internat 7,14,714,W,2,Nein
Internat 7,21,721,W,3,Nein
Internat 7,22,722,W,3,Nein
Internat 7,23,723,W,2,Nein
Internat 7,24,724,W,1,Nein
Internat 7,25,725,W,2,Nein
,,,,,
